file,line,issue,severity
"docs\roadmaps\MODULAR_DEVELOPMENT_ROADMAP_2025.md","76","Heading level jumps from H1 to H4","warning"
"docs\roadmaps\MODULAR_DEVELOPMENT_ROADMAP_2025.md","108","Heading level jumps from H1 to H4","warning"
"docs\roadmaps\MODULAR_DEVELOPMENT_ROADMAP_2025.md","140","Heading level jumps from H1 to H4","warning"
"docs\roadmaps\MODULAR_DEVELOPMENT_ROADMAP_2025.md","167","Heading level jumps from H1 to H4","warning"
"docs\SECURITY_ARCHITECTURE_COMPARISON.md","8","Line too long (131 characters)","info"
"docs\SECURITY_ARCHITECTURE_COMPARISON.md","13","Line too long (146 characters)","info"
"docs\SECURITY_ARCHITECTURE_COMPARISON.md","315","Line too long (152 characters)","info"
"docs\SECURITY_ARCHITECTURE_COMPARISON.md","321","Trailing whitespace","warning"
"docs\SECURITY_ARCHITECTURE_COMPARISON.md","221","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","7","Line too long (147 characters)","info"
"docs\SHADOW_MODE_ROADMAP.md","580","Line too long (126 characters)","info"
"docs\SHADOW_MODE_ROADMAP.md","589","Trailing whitespace","warning"
"docs\SHADOW_MODE_ROADMAP.md","589","Line too long (162 characters)","info"
"docs\SHADOW_MODE_ROADMAP.md","68","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","298","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","309","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","322","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","334","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","344","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","354","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","363","Heading level jumps from H1 to H4","warning"
"docs\SHADOW_MODE_ROADMAP.md","392","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","402","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","444","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","467","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","531","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","541","Heading level jumps from H1 to H3","warning"
"docs\SHADOW_MODE_ROADMAP.md","421","Duplicate heading: ""Response Example""","warning"
"docs\SHADOW_MODE_ROADMAP.md","449","Duplicate heading: ""Response Example""","warning"
"docs\SHADOW_MODE_ROADMAP.md","472","Duplicate heading: ""Response Example""","warning"
"docs\SHADOW_MODE_ROADMAP.md","421","Duplicate heading: ""Response Example""","warning"
"docs\SHADOW_MODE_ROADMAP.md","449","Duplicate heading: ""Response Example""","warning"
"docs\SHADOW_MODE_ROADMAP.md","472","Duplicate heading: ""Response Example""","warning"
"docs\SQL_INJECTION_PROTECTION_SUMMARY.md","155","Trailing whitespace","warning"
"docs\SQL_INJECTION_PROTECTION_SUMMARY.md","26","Heading level jumps from H1 to H3","warning"
"docs\SQL_INJECTION_PROTECTION_SUMMARY.md","113","Heading level jumps from H1 to H3","warning"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","4","Line too long (141 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","10","Line too long (154 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","13","Line too long (134 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","14","Line too long (165 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","38","Line too long (121 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","60","Line too long (128 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","109","Line too long (154 characters)","info"
"docs\status\ADAPTIVE_TRADE_MANAGER_IMPLEMENTATION_TASKS.md","122","Trailing whitespace","warning"
"docs\status\GOD_MODE_IMPLEMENTATION_TASKS.md","209","Trailing whitespace","warning"
"docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md","4","Line too long (166 characters)","info"
"docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md","10","Line too long (139 characters)","info"
"docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md","13","Line too long (128 characters)","info"
"docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md","14","Line too long (158 characters)","info"
"docs\status\MARKET_NARRATOR_IMPLEMENTATION_TASKS.md","87","Trailing whitespace","warning"
"docs\status\MODULAR_INTEGRATION_SUMMARY.md","192","Trailing whitespace","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","15","Line too long (122 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","16","Line too long (124 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","17","Line too long (129 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","19","Line too long (122 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","20","Line too long (125 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","263","Line too long (212 characters)","info"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","273","Trailing whitespace","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","30","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","57","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","85","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","113","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","30","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","57","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","85","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","113","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","30","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","57","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","85","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\PHASE_DEVELOPMENT_STATUS.md","113","Duplicate heading: ""✅ **COMPLETED FEATURES:**""","warning"
"docs\status\SHADOW_MODE_IMPLEMENTATION_TASKS.md","322","Trailing whitespace","warning"
"docs\status\STRATEGY_WHISPERER_IMPLEMENTATION_TASKS.md","247","Trailing whitespace","warning"
"docs\STRATEGY_WHISPERER_ROADMAP.md","7","Line too long (142 characters)","info"
"docs\STRATEGY_WHISPERER_ROADMAP.md","105","Line too long (124 characters)","info"
"docs\STRATEGY_WHISPERER_ROADMAP.md","108","Line too long (123 characters)","info"
"docs\STRATEGY_WHISPERER_ROADMAP.md","113","Line too long (125 characters)","info"
"docs\STRATEGY_WHISPERER_ROADMAP.md","201","Trailing whitespace","warning"
"docs\STRATEGY_WHISPERER_ROADMAP.md","58","Heading level jumps from H1 to H3","warning"
"docs\system\SYSTEM_STATUS_CHECK.md","146","Trailing whitespace","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","363","Trailing whitespace","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","36","Heading level jumps from H1 to H4","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","49","Heading level jumps from H1 to H3","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","323","Heading level jumps from H1 to H3","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","16","Duplicate heading: ""**Frontend Components**""","warning"
"docs\technical\AI_ENHANCEMENTS_SUMMARY.md","177","Duplicate heading: ""**Frontend Components**""","warning"
"docs\technical\ARCHITECTURE.md","3","Line too long (135 characters)","info"
"docs\technical\ARCHITECTURE.md","7","Line too long (307 characters)","info"
"docs\technical\ARCHITECTURE.md","11","Line too long (139 characters)","info"
"docs\technical\ARCHITECTURE.md","12","Line too long (125 characters)","info"
"docs\technical\ARCHITECTURE.md","13","Line too long (123 characters)","info"
"docs\technical\ARCHITECTURE.md","87","Line too long (126 characters)","info"
"docs\technical\ARCHITECTURE.md","88","Line too long (134 characters)","info"
"docs\technical\ARCHITECTURE.md","140","Trailing whitespace","warning"
"docs\technical\IMPORT_SORUNLARI_COZULDU.md","129","Trailing whitespace","warning"
"docs\technical\UNIFIED_TRADING_ENGINE_SUMMARY.md","234","Line too long (131 characters)","info"
"docs\technical\UNIFIED_TRADING_ENGINE_SUMMARY.md","243","Trailing whitespace","warning"
"docs\technical\UNIFIED_TRADING_ENGINE_SUMMARY.md","81","Heading level jumps from H1 to H3","warning"
"docs\technical\UNIFIED_TRADING_ENGINE_SUMMARY.md","93","Heading level jumps from H1 to H3","warning"
"docs\TICKMILL_LOGIN_GUIDE.md","157","Trailing whitespace","warning"
"docs\TICKMILL_LOGIN_GUIDE.md","84","Heading level jumps from H1 to H3","warning"
"docs\TICKMILL_LOGIN_GUIDE.md","94","Heading level jumps from H1 to H3","warning"
"docs\TICKMILL_LOGIN_GUIDE.md","77","Duplicate heading: ""Install dependencies""","warning"
"docs\TICKMILL_LOGIN_GUIDE.md","86","Duplicate heading: ""Install dependencies""","warning"
"docs\UPDATED_MODULE_STATUS_2025.md","311","Trailing whitespace","warning"
"docs\user-guides\COMPLETE_SYSTEM_GUIDE.md","5","Line too long (220 characters)","info"
"docs\user-guides\COMPLETE_SYSTEM_GUIDE.md","9","Line too long (127 characters)","info"
"docs\user-guides\COMPLETE_SYSTEM_GUIDE.md","71","Line too long (220 characters)","info"
"docs\user-guides\COMPLETE_SYSTEM_GUIDE.md","74","Line too long (160 characters)","info"
"docs\user-guides\COMPLETE_SYSTEM_GUIDE.md","136","Trailing whitespace","warning"
"docs\user-guides\PROJE_KULLANIM_KILAVUZU.md","112","Trailing whitespace","warning"
"docs\user-guides\QUICK_START_GUIDE.md","189","Trailing whitespace","warning"
"docs\user-guides\QUICK_START_GUIDE.md","40","Heading level jumps from H1 to H3","warning"
"docs\user-guides\QUICK_START_GUIDE.md","148","Heading level jumps from H1 to H3","warning"
"DOCUMENTATION_INDEX_MASTER.md","11","Line too long (234 characters)","info"
"DOCUMENTATION_INDEX_MASTER.md","222","Line too long (134 characters)","info"
"DOCUMENTATION_INVENTORY_REPORT.md","11","Line too long (280 characters)","info"
"DOCUMENTATION_INVENTORY_REPORT.md","253","Line too long (278 characters)","info"
"DOCUMENTATION_INVENTORY_REPORT.md","255","Line too long (206 characters)","info"
"documentation_summary.md","23","Line too long (126 characters)","info"
"documentation_summary.md","24","Line too long (124 characters)","info"
"documentation_summary.md","25","Line too long (135 characters)","info"
"mql5_forge_repos\README.md","3","Line too long (148 characters)","info"
"mql5_forge_repos\README.md","7","Line too long (272 characters)","info"
"mql5_forge_repos\README.md","20","Line too long (159 characters)","info"
"mql5_forge_repos\README.md","21","Line too long (176 characters)","info"
"mql5_forge_repos\README.md","22","Line too long (168 characters)","info"
"mql5_forge_repos\README.md","23","Line too long (196 characters)","info"
"mql5_forge_repos\README.md","31","Line too long (124 characters)","info"
"mql5_forge_repos\README.md","32","Line too long (151 characters)","info"
"mql5_forge_repos\README.md","38","Line too long (139 characters)","info"
"mql5_forge_repos\README.md","65","Trailing whitespace","warning"
"mql5_forge_repos\strategies\ict_ob_strategy\README.md","3","Line too long (124 characters)","info"
"mql5_forge_repos\strategies\ict_ob_strategy\README.md","7","Line too long (225 characters)","info"
"mql5_forge_repos\strategies\ict_ob_strategy\README.md","12","Line too long (128 characters)","info"
"mql5_forge_repos\strategies\ict_ob_strategy\README.md","86","Trailing whitespace","warning"
"PROJECT_OVERVIEW.md","5","Line too long (220 characters)","info"
"PROJECT_OVERVIEW.md","234","Heading level jumps from H1 to H3","warning"
"README.md","3","Line too long (147 characters)","info"
"README.md","7","Line too long (134 characters)","info"
"README.md","13","Trailing whitespace","warning"
"README.md","63","Trailing whitespace","warning"
"README.md","98","Trailing whitespace","warning"
"README.md","109","Trailing whitespace","warning"
"README.md","130","Trailing whitespace","warning"
"README.md","155","Trailing whitespace","warning"
"README.md","157","Trailing whitespace","warning"
"README.md","113","Heading level jumps from H1 to H3","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","1083","Line too long (304 characters)","info"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","54","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","139","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","241","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","298","Heading level jumps from H1 to H3","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","325","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","398","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","473","Heading level jumps from H1 to H3","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","519","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","556","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","609","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","692","Heading level jumps from H1 to H3","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","739","Heading level jumps from H1 to H4","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","777","Heading level jumps from H1 to H3","warning"
"SUPABASE_GRAPHQL_SECURITY_IMPLEMENTATION.md","1041","Heading level jumps from H1 to H3","warning"
